อันดับ,Ticker,ราคาซื้อแนะนำ ($),ราคาเป้าหมาย ($),จุดขาย Stoploss ($),จำนวนซื้อ ไม้แรก (50%),shares,มูลค่าไม้แรก ($),ความเสี่ยง/เทรด ($),Trailing Stop ($ Trail),Trailing Stop (% Trail),ระดับสัญญาณ,เหตุผลทำไมต้องซื้อ
13,XEL,79.98,86.34,76.8,17,17,1359.66,114.29,3.18,3.97,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $79.98 > EMA20 $79.91 > EMA50 $79.51 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,983,807 หุ้น/วัน"
14,RTX,194.36,211.74,185.67,6,6,1166.16,114.29,8.69,4.47,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $194.36 > EMA20 $192.08 > EMA50 $187.98 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,029,350 หุ้น/วัน"
15,KMB,108.99,120.98,102.99,9,9,980.91,114.29,6.0,5.5,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $108.99 > EMA20 $108.03 > EMA50 $104.11 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,867,073 หุ้น/วัน"
16,BEN,33.33,36.94,31.53,31,31,1033.23,114.29,1.8,5.41,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $33.33 > EMA20 $33.13 > EMA50 $31.71 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,690,990 หุ้น/วัน"
17,AIG,78.03,85.08,74.5,16,16,1248.48,114.29,3.53,4.52,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $78.03 > EMA20 $77.63 > EMA50 $76.61 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,310,330 หุ้น/วัน"
18,SRE,93.15,99.96,89.74,16,16,1490.4,114.29,3.41,3.66,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $93.15 > EMA20 $92.99 > EMA50 $92.32 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,889,370 หุ้น/วัน"
19,DUK,126.11,135.19,121.57,12,12,1513.32,114.29,4.54,3.6,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $126.11 > EMA20 $125.95 > EMA50 $125.54 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,708,853 หุ้น/วัน"
20,SYF,74.28,83.19,69.82,12,12,891.36,114.29,4.46,6.0,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $74.28 > EMA20 $74.09 > EMA50 $73.58 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,636,617 หุ้น/วัน"
21,SYY,82.25,89.33,78.71,16,16,1316.0,114.29,3.54,4.3,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $82.25 > EMA20 $81.60 > EMA50 $79.32 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,456,890 หุ้น/วัน"
22,MGM,46.9,51.92,44.39,22,22,1031.8,114.29,2.51,5.35,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $46.90 > EMA20 $46.83 > EMA50 $44.79 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,337,387 หุ้น/วัน"
23,ETR,114.87,123.08,110.76,13,13,1493.31,114.29,4.11,3.58,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $114.87 > EMA20 $114.00 > EMA50 $112.50 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,214,513 หุ้น/วัน"
24,LYV,179.85,199.1,170.22,5,5,899.25,114.29,9.63,5.35,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $179.85 > EMA20 $178.69 > EMA50 $172.45 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,542,523 หุ้น/วัน"
25,LNT,75.75,81.16,73.04,21,21,1590.75,114.29,2.71,3.57,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $75.75 > EMA20 $75.56 > EMA50 $74.16 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,523,003 หุ้น/วัน"
26,RCL,293.95,341.88,269.98,2,2,587.9,114.29,23.97,8.15,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $293.95 > EMA20 $293.73 > EMA50 $289.16 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,506,910 หุ้น/วัน"
27,DHI,154.42,174.18,144.54,5,5,772.1,114.29,9.88,6.4,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $154.42 > EMA20 $153.83 > EMA50 $152.06 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,217,640 หุ้น/วัน"
28,EVRG,86.56,92.44,83.62,19,19,1644.64,114.29,2.94,3.39,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $86.56 > EMA20 $85.62 > EMA50 $84.10 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,140,900 หุ้น/วัน"
29,ACGL,100.04,108.62,95.75,13,13,1300.52,114.29,4.29,4.29,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $100.04 > EMA20 $98.65 > EMA50 $96.35 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,100,747 หุ้น/วัน"
30,EA,207.84,211.6,205.96,30,30,6235.2,114.29,1.88,0.91,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $207.84 > EMA20 $205.43 > EMA50 $203.91 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,098,610 หุ้น/วัน"
31,IFF,77.6,87.26,72.77,11,11,853.6,114.29,4.83,6.22,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $77.60 > EMA20 $77.35 > EMA50 $76.14 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,015,770 หุ้น/วัน"
32,HBAN,18.56,20.15,17.76,71,71,1317.76,114.29,0.8,4.29,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $18.56 > EMA20 $17.69 > EMA50 $17.10 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 21,967,613 หุ้น/วัน"
33,KO,84.92,91.59,81.58,17,17,1443.64,114.29,3.34,3.93,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $84.92 > EMA20 $82.49 > EMA50 $80.78 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 19,367,743 หุ้น/วัน"
34,WFC,88.07,96.44,83.88,13,13,1144.91,114.29,4.19,4.75,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $88.07 > EMA20 $85.39 > EMA50 $83.08 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 16,247,587 หุ้น/วัน"
35,ABT,98.83,111.37,92.56,9,9,889.47,114.29,6.27,6.35,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $98.83 > EMA20 $91.96 > EMA50 $91.76 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 14,086,567 หุ้น/วัน"
36,KEY,23.99,25.85,23.06,61,61,1463.39,114.29,0.93,3.88,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $23.99 > EMA20 $23.08 > EMA50 $22.39 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 11,876,133 หุ้น/วัน"
37,MDT,83.56,93.17,78.75,11,11,919.16,114.29,4.81,5.75,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $83.56 > EMA20 $81.19 > EMA50 $80.82 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 10,094,587 หุ้น/วัน"
38,VTRS,17.33,19.26,16.36,59,59,1022.47,114.29,0.97,5.58,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $17.33 > EMA20 $16.41 > EMA50 $16.00 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 9,655,130 หุ้น/วัน"
39,USB,64.01,69.06,61.49,22,22,1408.22,114.29,2.52,3.94,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $64.01 > EMA20 $61.03 > EMA50 $58.43 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 9,438,220 หุ้น/วัน"
40,PM,189.84,210.93,179.29,5,5,949.2,114.29,10.55,5.56,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $189.84 > EMA20 $181.40 > EMA50 $178.32 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,052,660 หุ้น/วัน"
41,CFG,74.4,81.21,70.99,16,16,1190.4,114.29,3.41,4.58,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $74.40 > EMA20 $69.92 > EMA50 $67.22 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,001,893 หุ้น/วัน"
42,COF,211.93,234.55,200.62,5,5,1059.65,114.29,11.31,5.34,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $211.93 > EMA20 $201.48 > EMA50 $196.59 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,856,470 หุ้น/วัน"
43,TGT,140.21,156.7,131.96,6,6,841.26,114.29,8.25,5.88,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $140.21 > EMA20 $133.29 > EMA50 $129.64 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,623,207 หุ้น/วัน"
44,IR,84.78,95.39,79.47,10,10,847.8,114.29,5.31,6.26,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $84.78 > EMA20 $78.90 > EMA50 $78.00 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,227,720 หุ้น/วัน"
45,DLTR,128.45,146.4,119.48,6,6,770.7,114.29,8.97,6.99,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $128.45 > EMA20 $121.06 > EMA50 $114.36 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,436,603 หุ้น/วัน"
46,EQR,70.0,75.29,67.35,21,21,1470.0,114.29,2.65,3.78,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $70.00 > EMA20 $68.09 > EMA50 $66.37 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,947,103 หุ้น/วัน"
47,BDX,159.93,177.38,151.2,6,6,959.58,114.29,8.73,5.46,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $159.93 > EMA20 $152.26 > EMA50 $150.78 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,515,363 หุ้น/วัน"
48,A,136.1,151.01,128.65,7,7,952.7,114.29,7.45,5.48,สัญญาณเดี่ยว (MACD Cross),"เทรนด์ขาขึ้นชัดเจน: Close $136.10 > EMA20 $132.25 > EMA50 $128.26 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,245,497 หุ้น/วัน"
49,F,14.19,16.06,13.26,61,61,865.59,114.29,0.93,6.58,สัญญาณคู่ (MACD+EMA20),"เทรนด์ขาขึ้นชัดเจน: Close $14.19 > EMA20 $14.00 > EMA50 $13.88 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 51,552,127 หุ้น/วัน"
