อันดับ,Ticker,ราคาซื้อแนะนำ ($),ราคาเป้าหมาย ($),จุดขาย Stoploss ($),จำนวนซื้อ ไม้แรก (50%),มูลค่าไม้แรก ($),ความเสี่ยง/เทรด ($),ระดับสัญญาณ,เหตุผลทำไมต้องซื้อ
1,AES,14.76,15.06,14.61,377,5564.52,114.29,⭐⭐ สัญญาณคู่ (แข็งแรง),"เทรนด์ขาขึ้นชัดเจน: Close $14.76 > EMA20 $14.66 > EMA50 $14.60 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 8,853,479 หุ้น/วัน"
2,FTV,62.31,67.86,59.53,20,1246.2,114.29,⭐⭐ สัญญาณคู่ (แข็งแรง),"เทรนด์ขาขึ้นชัดเจน: Close $62.31 > EMA20 $61.50 > EMA50 $60.57 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,161,667 หุ้น/วัน"
3,UBER,74.26,84.37,69.21,11,816.86,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $74.26 > EMA20 $73.26 > EMA50 $73.21 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 21,629,535 หุ้น/วัน"
25,BBY,81.65,91.6,76.67,11,898.15,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $81.65 > EMA20 $77.13 > EMA50 $72.07 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,302,104 หุ้น/วัน"
26,IR,78.56,88.63,73.52,11,864.16,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $78.56 > EMA20 $78.10 > EMA50 $77.61 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,132,253 หุ้น/วัน"
27,VST,158.12,183.08,145.64,4,632.48,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $158.12 > EMA20 $157.11 > EMA50 $156.11 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,125,767 หุ้น/วัน"
28,PLD,142.16,154.99,135.75,8,1137.28,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $142.16 > EMA20 $141.30 > EMA50 $140.94 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,063,178 หุ้น/วัน"
29,DUK,126.86,136.06,122.26,12,1522.32,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $126.86 > EMA20 $126.08 > EMA50 $125.54 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,730,389 หุ้น/วัน"
30,CMS,75.75,81.68,72.79,19,1439.25,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $75.75 > EMA20 $75.54 > EMA50 $74.84 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,680,005 หุ้น/วัน"
31,DLTR,126.38,144.52,117.31,6,758.28,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $126.38 > EMA20 $119.04 > EMA50 $112.79 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,657,472 หุ้น/วัน"
32,DG,123.44,139.69,115.32,7,864.08,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $123.44 > EMA20 $115.46 > EMA50 $114.67 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,464,443 หุ้น/วัน"
33,AMCR,42.43,47.46,39.92,22,933.46,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $42.43 > EMA20 $42.23 > EMA50 $40.94 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,461,487 หุ้น/วัน"
34,ETR,114.84,123.23,110.64,13,1492.92,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $114.84 > EMA20 $113.71 > EMA50 $112.20 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,374,260 หุ้น/วัน"
35,HWM,271.28,306.58,253.63,3,813.84,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $271.28 > EMA20 $270.29 > EMA50 $263.51 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,303,492 หุ้น/วัน"
36,BALL,61.3,67.55,58.17,18,1103.4,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $61.30 > EMA20 $60.40 > EMA50 $59.21 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,138,284 หุ้น/วัน"
37,PEG,80.89,86.5,78.08,20,1617.8,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $80.89 > EMA20 $80.69 > EMA50 $80.04 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,033,470 หุ้น/วัน"
38,TTWO,244.1,277.14,227.57,3,732.29,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $244.10 > EMA20 $241.94 > EMA50 $232.14 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,873,513 หุ้น/วัน"
39,ED,111.82,120.0,107.73,13,1453.66,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $111.82 > EMA20 $110.38 > EMA50 $109.05 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,534,585 หุ้น/วัน"
40,LNT,76.63,81.9,74.0,21,1609.23,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $76.63 > EMA20 $75.57 > EMA50 $73.99 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,496,830 หุ้น/วัน"
41,SPG,219.49,237.61,210.43,6,1316.94,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $219.49 > EMA20 $219.14 > EMA50 $211.71 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,478,441 หุ้น/วัน"
42,YUM,161.68,177.28,153.88,7,1131.76,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $161.68 > EMA20 $159.34 > EMA50 $156.53 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,460,985 หุ้น/วัน"
43,AWK,131.53,144.15,125.22,9,1183.77,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $131.53 > EMA20 $130.30 > EMA50 $128.92 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,430,078 หุ้น/วัน"
44,TROW,113.65,125.96,107.49,9,1022.85,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $113.65 > EMA20 $112.99 > EMA50 $107.44 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,358,456 หุ้น/วัน"
45,ZBH,94.08,105.55,88.35,9,846.72,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $94.08 > EMA20 $88.93 > EMA50 $88.02 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,279,810 หุ้น/วัน"
46,WEC,115.87,123.89,111.86,14,1622.18,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $115.87 > EMA20 $115.50 > EMA50 $114.32 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,229,077 หุ้น/วัน"
47,CBRE,138.03,153.82,130.13,7,966.21,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $138.03 > EMA20 $137.25 > EMA50 $136.92 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,220,783 หุ้น/วัน"
48,EVRG,86.45,92.43,83.46,19,1642.55,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $86.45 > EMA20 $85.43 > EMA50 $83.84 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,178,459 หุ้น/วัน"
49,EA,206.35,209.99,204.53,31,6396.85,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $206.35 > EMA20 $204.77 > EMA50 $203.48 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,084,737 หุ้น/วัน"
50,CHD,97.16,106.35,92.57,12,1165.92,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $97.16 > EMA20 $97.04 > EMA50 $96.46 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,039,557 หุ้น/วัน"
51,ODFL,232.9,262.9,217.9,3,698.7,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $232.90 > EMA20 $223.18 > EMA50 $219.11 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,014,898 หุ้น/วัน"
