อันดับ,Ticker,ราคาซื้อแนะนำ ($),ราคาเป้าหมาย ($),จุดขาย Stoploss ($),จำนวนซื้อ ไม้แรก (50%),shares,มูลค่าไม้แรก ($),ความเสี่ยง/เทรด ($),ระดับสัญญาณ,เหตุผลทำไมต้องซื้อ
1,F,14.18,16.11,13.22,59,59,836.62,114.29,⭐⭐ สัญญาณคู่ (แข็งแรง),"เทรนด์ขาขึ้นชัดเจน: Close $14.18 > EMA20 $13.98 > EMA50 $13.87 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 52,651,618 หุ้น/วัน"
2,JCI,142.76,163.04,132.62,5,5,713.8,114.29,⭐⭐ สัญญาณคู่ (แข็งแรง),"เทรนด์ขาขึ้นชัดเจน: Close $142.76 > EMA20 $142.70 > EMA50 $141.51 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,810,457 หุ้น/วัน"
3,BAC,61.59,66.64,59.07,22,22,1354.98,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $61.59 > EMA20 $58.36 > EMA50 $55.80 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 36,505,643 หุ้น/วัน"
14,O,63.26,67.35,61.21,27,27,1708.02,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $63.26 > EMA20 $62.73 > EMA50 $62.13 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 6,220,238 หุ้น/วัน"
15,MS,228.55,253.99,215.83,4,4,914.2,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $228.55 > EMA20 $219.22 > EMA50 $209.64 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 6,174,231 หุ้น/วัน"
16,INVH,29.82,31.98,28.74,52,52,1550.64,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $29.82 > EMA20 $29.70 > EMA50 $28.97 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,766,331 หุ้น/วัน"
17,KIM,25.09,26.74,24.27,69,69,1731.21,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $25.09 > EMA20 $25.05 > EMA50 $24.49 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,312,973 หุ้น/วัน"
18,CNC,66.61,76.08,61.87,12,12,799.32,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $66.61 > EMA20 $65.68 > EMA50 $60.75 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,116,762 หุ้น/วัน"
19,PM,180.88,200.78,170.93,5,5,904.4,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $180.88 > EMA20 $180.52 > EMA50 $177.85 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,991,563 หุ้น/วัน"
20,DXCM,72.73,83.13,67.53,10,10,727.3,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $72.73 > EMA20 $72.43 > EMA50 $70.49 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,939,799 หุ้น/วัน"
21,MKC,50.92,57.52,47.62,17,17,865.64,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $50.92 > EMA20 $50.69 > EMA50 $50.04 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,796,098 หุ้น/วัน"
22,COF,208.89,231.89,197.39,4,4,835.56,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $208.89 > EMA20 $200.38 > EMA50 $195.97 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,758,370 หุ้น/วัน"
23,IBKR,97.41,111.69,90.27,8,8,779.28,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $97.41 > EMA20 $92.94 > EMA50 $88.56 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,666,068 หุ้น/วัน"
24,TGT,138.29,154.99,129.94,6,6,829.74,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $138.29 > EMA20 $132.56 > EMA50 $129.21 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,557,476 หุ้น/วัน"
25,IR,79.14,88.74,74.34,11,11,870.54,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $79.14 > EMA20 $78.28 > EMA50 $77.72 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,028,569 หุ้น/วัน"
26,MGM,46.84,52.0,44.26,22,22,1030.48,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $46.84 > EMA20 $46.82 > EMA50 $44.70 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,580,640 หุ้น/วัน"
27,MMM,160.53,176.57,152.51,7,7,1123.71,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $160.53 > EMA20 $158.52 > EMA50 $156.07 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,575,134 หุ้น/วัน"
28,COO,70.6,78.79,66.51,13,13,917.8,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $70.60 > EMA20 $69.64 > EMA50 $68.08 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,431,807 หุ้น/วัน"
29,EBAY,112.76,124.72,106.78,9,9,1014.84,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $112.76 > EMA20 $112.52 > EMA50 $109.41 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,331,457 หุ้น/วัน"
30,PCAR,123.15,135.68,116.88,9,9,1108.35,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $123.15 > EMA20 $121.49 > EMA50 $119.27 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,286,390 หุ้น/วัน"
31,ETR,114.24,122.54,110.09,13,13,1485.12,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $114.24 > EMA20 $113.91 > EMA50 $112.40 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,232,532 หุ้น/วัน"
32,NTAP,162.1,195.21,145.54,3,3,486.3,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $162.10 > EMA20 $161.50 > EMA50 $149.32 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,189,302 หุ้น/วัน"
33,EQR,68.26,73.38,65.7,22,22,1501.72,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $68.26 > EMA20 $67.89 > EMA50 $66.22 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,960,524 หุ้น/วัน"
34,BALL,60.8,66.9,57.75,18,18,1094.4,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $60.80 > EMA20 $60.44 > EMA50 $59.32 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,927,187 หุ้น/วัน"
35,ES,73.79,79.58,70.9,19,19,1402.01,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $73.79 > EMA20 $72.85 > EMA50 $71.06 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,726,141 หุ้น/วัน"
36,TTWO,243.8,276.99,227.2,3,3,731.4,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $243.80 > EMA20 $241.69 > EMA50 $232.78 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,669,270 หุ้น/วัน"
37,BDX,154.88,171.98,146.33,6,6,929.28,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $154.88 > EMA20 $151.45 > EMA50 $150.41 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,536,876 หุ้น/วัน"
38,AFL,121.01,129.77,116.63,13,13,1573.13,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $121.01 > EMA20 $119.92 > EMA50 $117.46 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,512,355 หุ้น/วัน"
39,SPG,222.01,239.25,213.39,6,6,1332.06,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $222.01 > EMA20 $219.59 > EMA50 $212.48 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,400,256 หุ้น/วัน"
40,MAS,78.04,87.21,73.46,12,12,936.48,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $78.04 > EMA20 $77.09 > EMA50 $73.88 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,299,500 หุ้น/วัน"
41,VLTO,91.0,99.49,86.76,13,13,1183.0,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $91.00 > EMA20 $89.74 > EMA50 $88.25 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,283,674 หุ้น/วัน"
42,ZBH,90.14,102.34,84.04,9,9,811.26,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $90.14 > EMA20 $89.23 > EMA50 $88.22 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,251,524 หุ้น/วัน"
43,ACGL,98.54,107.25,94.19,13,13,1281.02,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $98.54 > EMA20 $98.50 > EMA50 $96.20 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,123,058 หุ้น/วัน"
44,EA,207.27,211.11,205.35,29,29,6010.83,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $207.27 > EMA20 $205.17 > EMA50 $203.75 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,065,423 หุ้น/วัน"
45,CBRE,141.41,159.3,132.46,6,6,848.46,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $141.41 > EMA20 $137.29 > EMA50 $136.95 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 2,011,228 หุ้น/วัน"
